,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
910,MUTHOOTFIN,EQ,2018-12-19,483.8,488.0,510.0,483.0,504.95,503.35,500.51,4420035,2212290042.7,84076,1492187,33.76,12,2018,438.02164689059043,0.040409260024803606,Slight or No change
911,MUTHOOTFIN,EQ,2018-12-20,503.35,497.5,511.2,497.5,500.0,499.5,504.36,1887351,951900527.7,31651,467371,24.76,12,2018,438.3460344062387,-0.007648753352538007,Slight or No change
913,MUTHOOTFIN,EQ,2018-12-21,499.5,501.0,505.0,484.75,487.65,486.6,492.38,1550585,763481855.7,23963,549644,35.45,12,2018,438.5543104120738,-0.02582582582582582,Slight or No change
914,MUTHOOTFIN,EQ,2018-12-24,486.6,488.0,501.55,486.35,494.1,494.35,496.67,1352810,671894735.9,23661,261390,19.32,12,2018,438.7636328328217,0.01592683929305383,Slight or No change
915,MUTHOOTFIN,EQ,2018-12-26,494.35,496.0,504.5,478.4,497.25,499.45,494.43,1577695,780067358.65,32164,543548,34.45,12,2018,439.02799328630005,0.010316577323758347,Slight or No change
916,MUTHOOTFIN,EQ,2018-12-27,499.45,501.7,504.9,491.45,492.55,493.1,497.01,895299,444975922.7,12168,322754,36.05,12,2018,439.16133027092195,-0.01271398538392221,Slight or No change
917,MUTHOOTFIN,EQ,2018-12-28,493.1,496.9,510.7,495.3,504.55,504.5,505.55,1509008,762878299.95,36714,624139,41.36,12,2018,439.4317700532105,0.023119042790509026,Slight or No change
918,MUTHOOTFIN,EQ,2018-12-31,504.5,507.65,518.6,503.65,518.0,516.0,512.62,1775209,910011069.25,28249,361385,20.36,12,2018,439.8027900418611,0.02279484638255691,Slight or No change
920,MUTHOOTFIN,EQ,2019-01-01,516.0,516.0,517.7,510.8,511.55,512.5,513.32,573931,294611144.55,8853,75719,13.19,1,2019,439.91649955531994,-0.006782945736434121,Slight or No change
921,MUTHOOTFIN,EQ,2019-01-02,512.5,513.5,515.55,498.0,502.0,502.25,506.2,973749,492911651.9,16897,221207,22.72,1,2019,440.08148168908536,-0.020000000000000018,Slight or No change
922,MUTHOOTFIN,EQ,2019-01-03,502.25,503.1,505.8,494.1,496.65,495.75,499.5,482416,240964438.9,8639,87590,18.16,1,2019,440.15438221128693,-0.012941762070681984,Slight or No change
923,MUTHOOTFIN,EQ,2019-01-04,495.75,498.35,508.8,489.7,499.5,501.95,499.68,1409156,704123054.45,31707,467072,33.15,1,2019,440.38986432003145,0.012506303580433586,Slight or No change
924,MUTHOOTFIN,EQ,2019-01-07,501.95,508.35,515.0,498.85,513.0,513.4,509.37,1073922,547027780.35,17473,398068,37.07,1,2019,440.60128021942097,0.022811036955872055,Slight or No change
925,MUTHOOTFIN,EQ,2019-01-08,513.4,511.65,531.0,510.1,516.45,517.0,521.1,2800412,1459290322.85,43348,839409,29.97,1,2019,441.1738424931417,0.0070120763537202535,Slight or No change
926,MUTHOOTFIN,EQ,2019-01-09,517.0,522.0,522.7,509.05,517.25,516.75,515.15,817662,421220550.45,20536,276641,33.83,1,2019,441.3388577317694,-0.0004835589941972751,Slight or No change
927,MUTHOOTFIN,EQ,2019-01-10,516.75,516.7,529.9,515.7,524.0,524.55,524.34,1543255,809184801.85,31005,483711,31.34,1,2019,441.6803639013374,0.015094339622641506,Slight or No change
928,MUTHOOTFIN,EQ,2019-01-11,524.55,522.5,545.35,522.2,537.0,537.95,532.39,1436280,764657367.05,28426,414743,28.88,1,2019,442.04667674583544,0.025545705843103894,Slight or No change
929,MUTHOOTFIN,EQ,2019-01-14,537.95,534.95,538.5,528.0,530.7,531.65,532.66,613762,326929238.75,11848,85180,13.88,1,2019,442.19213629029093,-0.011711125569290992,Slight or No change
930,MUTHOOTFIN,EQ,2019-01-15,531.65,532.0,543.4,531.2,540.0,541.65,539.88,806950,435659120.2,26091,256728,31.81,1,2019,442.4039616318414,0.018809367064798188,Slight or No change
931,MUTHOOTFIN,EQ,2019-01-16,541.65,540.8,544.0,532.15,535.5,537.15,537.03,820323,440535421.55,21268,283157,34.52,1,2019,442.6086526745633,-0.008307947936859628,Slight or No change
932,MUTHOOTFIN,EQ,2019-01-17,537.15,536.1,539.85,528.65,532.15,533.4,533.51,688271,367200787.85,12893,253807,36.88,1,2019,442.77292723505747,-0.006981290142418328,Slight or No change
933,MUTHOOTFIN,EQ,2019-01-18,533.4,533.4,536.8,524.65,527.4,527.6,530.46,635070,336878043.75,13122,256099,40.33,1,2019,442.91431050024835,-0.010873640794900608,Slight or No change
