,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
991,MUTHOOTFIN,EQ,2019-04-12,610.75,610.0,619.85,610.0,617.45,615.75,616.28,1170077,721095959.95,25756,393909,33.67,4,2019,459.59496239659114,0.008186655751125649,Slight or No change
992,MUTHOOTFIN,EQ,2019-04-15,615.75,616.05,621.9,608.9,609.3,610.65,615.35,628357,386657173.25,9731,310214,49.37,4,2019,459.80754523101086,-0.008282582216808776,Slight or No change
993,MUTHOOTFIN,EQ,2019-04-16,610.65,615.8,615.8,610.0,613.85,613.85,612.94,242338,148539648.15,4998,41351,17.06,4,2019,459.89110799925277,0.005240317694260366,Slight or No change
994,MUTHOOTFIN,EQ,2019-04-18,613.85,614.0,623.95,613.25,617.0,616.25,618.32,731261,452152270.9,16854,224903,30.76,4,2019,460.1466342646001,0.003909749938910023,Slight or No change
995,MUTHOOTFIN,EQ,2019-04-22,616.25,615.0,615.0,585.5,587.05,589.3,597.69,621370,371387708.6,9288,201784,32.47,4,2019,460.32573356904305,-0.04373225152129823,Slight or No change
996,MUTHOOTFIN,EQ,2019-04-23,589.3,592.9,597.8,585.1,588.6,586.85,591.28,550635,325578993.4,12134,161111,29.26,4,2019,460.4810230976868,-0.00415747497030361,Slight or No change
997,MUTHOOTFIN,EQ,2019-04-24,586.85,590.0,596.6,582.35,587.0,586.7,587.08,423140,248415238.95,14855,131098,30.98,4,2019,460.5999565016328,-0.00025560194257467916,Slight or No change
998,MUTHOOTFIN,EQ,2019-04-25,586.7,586.95,596.6,572.9,581.25,580.15,586.06,1035248,606721311.3,22810,417910,40.37,4,2019,460.8749289594543,-0.01116413840122732,Slight or No change
999,MUTHOOTFIN,EQ,2019-04-26,580.15,581.7,594.8,573.4,590.25,592.05,584.4,959856,560939113.3,18859,372321,38.79,4,2019,461.1540723031601,0.020511936568128997,Slight or No change
1000,MUTHOOTFIN,EQ,2019-04-30,592.05,587.15,600.5,579.25,597.1,597.0,592.11,740162,438256129.95,18655,255849,34.57,4,2019,461.3766241585247,0.008360780339498497,Slight or No change
1001,MUTHOOTFIN,EQ,2019-05-02,597.0,593.7,605.0,589.4,594.1,594.95,598.94,639544,383047561.55,18188,229142,35.83,5,2019,461.565437990627,-0.0034338358458960716,Slight or No change
1002,MUTHOOTFIN,EQ,2019-05-03,594.95,593.4,609.9,592.2,599.5,599.65,601.4,449155,270122209.85,9377,116118,25.85,5,2019,461.7023854277468,0.00789982351458085,Slight or No change
1003,MUTHOOTFIN,EQ,2019-05-06,599.65,596.8,603.35,589.0,593.0,593.3,594.18,232454,138118766.5,4584,70298,30.24,5,2019,461.7698964570633,-0.010589510547819647,Slight or No change
1004,MUTHOOTFIN,EQ,2019-05-07,593.3,594.9,599.15,563.6,568.8,566.4,578.0,759832,439183357.05,15596,272169,35.82,5,2019,461.9450569928356,-0.04533962582167539,Slight or No change
1005,MUTHOOTFIN,EQ,2019-05-08,566.4,560.5,570.1,556.3,561.15,561.45,562.94,1326524,746758894.55,35516,542060,40.86,5,2019,462.235027852906,-0.008739406779660897,Slight or No change
1006,MUTHOOTFIN,EQ,2019-05-09,561.45,564.0,571.75,560.15,568.0,566.45,567.45,590369,335002091.95,11667,178710,30.27,5,2019,462.3700128074176,0.008905512512245028,Slight or No change
1007,MUTHOOTFIN,EQ,2019-05-10,566.45,569.95,581.75,567.65,573.0,573.1,575.15,729308,419464833.75,21678,197512,27.08,5,2019,462.5469070010857,0.011739782858151582,Slight or No change
1008,MUTHOOTFIN,EQ,2019-05-13,573.1,570.8,571.05,542.75,551.75,547.25,556.08,905359,503449535.4,17060,105280,11.63,5,2019,462.71455447727,-0.04510556621881001,Slight or No change
